mileage,make,fuel,gear,offerType,price,hp,year
92800,57,7,1,4,6877,122.0,2011
149300,49,7,1,4,6900,160.0,2011
96200,48,7,1,4,6950,110.0,2011
156000,45,7,1,4,6950,156.0,2011
147000,55,5,0,4,6950,99.0,2011
91894,48,2,1,4,6970,131.0,2011
127500,43,7,1,4,6972,116.0,2011
115000,38,7,0,4,6980,150.0,2011
104,23,2,1,4,6990,86.0,2011
59580,43,2,0,4,6990,101.0,2011
84000,57,7,1,4,6990,105.0,2011
109000,11,7,1,4,6990,141.0,2011
194020,5,2,1,4,6999,120.0,2011
72000,57,7,1,4,6999,60.0,2011
190000,48,2,1,4,6999,150.0,2011
190000,48,2,1,4,6999,150.0,2011
85700,22,2,1,4,6999,135.0,2011
82000,43,7,1,4,7000,101.0,2011
44800,31,7,0,4,7850,86.0,2012
81970,57,7,1,4,7850,105.0,2012
24000,18,7,1,4,7900,105.0,2012
193333,57,2,1,4,7900,105.0,2012
113000,57,7,1,4,7900,105.0,2012
117000,57,7,1,4,7949,105.0,2012
104250,43,7,1,4,7950,140.0,2012
151250,45,2,1,4,7950,163.0,2012
133500,6,2,1,4,7980,143.0,2012
105000,43,7,1,4,7980,179.0,2012
114164,23,7,1,4,7990,125.0,2012
128000,37,2,1,4,7990,90.0,2012
150000,6,2,1,4,7999,143.0,2012
160000,37,7,1,4,7999,122.0,2012
165000,39,2,1,4,8000,109.0,2012
51200,48,7,1,4,8000,131.0,2012
107000,43,2,1,4,8000,160.0,2012
130000,37,7,1,4,8000,98.0,2012
214000,6,2,0,4,8199,184.0,2012
73760,43,7,1,4,8990,140.0,2013
113000,57,7,1,4,8990,160.0,2013
108803,25,2,1,4,8990,116.0,2013
7400,43,7,1,4,8990,101.0,2013
86980,23,7,1,4,8995,120.0,2013
98000,57,2,0,4,8999,105.0,2013
98988,23,2,1,4,8999,101.0,2013
41124,43,7,1,4,8999,101.0,2013
170000,57,2,1,4,8999,140.0,2013
80500,6,7,1,4,9000,102.0,2013
195327,23,2,1,4,9000,140.0,2013
143316,57,7,0,4,9000,140.0,2013
98100,49,7,1,4,9100,122.0,2013
113000,5,7,1,4,9100,86.0,2013
94000,57,2,1,4,9200,105.0,2013
68700,11,7,1,4,9290,140.0,2013
169500,55,2,1,4,9300,126.0,2013
77000,57,7,0,4,9300,122.0,2013
45600,23,7,1,4,8990,80.0,2014
230000,43,2,1,4,8990,140.0,2014
99756,57,7,1,4,8990,105.0,2014
84600,55,5,0,4,8990,143.0,2014
73000,25,7,1,4,8990,125.0,2014
133180,57,2,1,4,8990,105.0,2014
22700,57,7,1,4,8990,60.0,2014
53000,50,7,1,4,8999,105.0,2014
149786,6,7,1,4,8999,136.0,2014
197500,57,2,1,4,8999,140.0,2014
57000,31,7,1,4,9000,99.0,2014
53286,50,7,1,4,9100,86.0,2014
84721,55,7,0,4,9200,101.0,2014
111000,5,7,1,4,9200,122.0,2014
87500,49,2,1,4,9290,105.0,2014
55000,50,7,1,4,9300,105.0,2014
77000,57,7,1,4,9300,90.0,2014
166000,57,2,0,4,9400,105.0,2014
55000,23,7,1,4,9450,101.0,2014
140000,57,2,0,4,9990,110.0,2015
160000,23,2,0,4,9999,120.0,2015
28238,43,7,1,4,10190,140.0,2015
114327,43,2,0,4,10200,131.0,2015
80575,57,2,1,4,10299,105.0,2015
79987,23,7,0,4,10444,105.0,2015
166554,50,2,1,4,10490,170.0,2015
47295,23,7,1,4,10490,101.0,2015
90000,43,2,1,4,10499,170.0,2015
76800,13,7,1,4,10580,110.0,2015
60000,45,7,1,4,10750,110.0,2015
9500,25,7,1,4,10750,125.0,2015
118000,57,2,1,4,10950,150.0,2015
87000,57,7,1,4,10950,110.0,2015
137000,6,2,1,4,10950,116.0,2015
29000,53,7,1,4,8990,94.0,2016
198000,57,2,1,4,8999,120.0,2016
192000,51,2,1,4,8999,178.0,2016
15000,18,7,1,4,9000,90.0,2016
57800,38,7,1,4,9250,90.0,2016
86900,23,7,1,4,9380,101.0,2016
56617,57,7,1,4,9440,90.0,2016
70604,55,7,1,4,9490,69.0,2016
68656,55,7,1,4,9490,69.0,2016
64783,55,7,1,4,9490,69.0,2016
